County,% Fair or Poor Health,Average Number of Physically Unhealthy Days,% Adults with Obesity,% Smokers,# Uninsured,% Uninsured,# Primary Care Physicians,Preventable Hospitalization Rate,Overcrowding,Life Expectancy,% Adults with Diabetes,# Limited Access,% 65 and over,% Female,# Rural,% Rural,# Black,% Black,# American Indian & Alaska Native,% American Indian & Alaska Native,# Asian,% Asian,# Native Hawaiian/Other Pacific Islander,% Native Hawaiian/Other Pacific Islander,# Hispanic,% Hispanic,# Non-Hispanic White,% Non-Hispanic White
Alachua,18,4.1,27,16,25800,12,422,5058,2,79.1,9,15899,14.0,51.7,52419,21.2,53882,20.0,971,0.4,16900,6.3,215,0.1,27741,10.3,164160,60.8
Baker,20,4.3,38,23,2610,12,10,4966,3,75.3,16,3514,14.2,47.4,16131,59.5,3917,13.8,125,0.4,201,0.7,9,0.0,756,2.7,22907,80.8
Bay,20,4.4,29,23,22229,15,100,5756,2,76.1,11,17869,17.1,50.4,20262,12.0,20779,11.2,1535,0.8,4223,2.3,298,0.2,12426,6.7,141071,76.1
Bradford,23,5.0,37,23,2534,13,8,7074,2,75.2,12,641,17.8,44.8,21541,75.5,5461,19.7,138,0.5,167,0.6,15,0.1,1184,4.3,20307,73.2
Brevard,18,4.1,30,17,58273,13,431,4963,1,77.7,13,66905,23.7,51.1,27573,5.1,59458,10.0,2758,0.5,15759,2.6,798,0.1,63961,10.7,442087,74.1
Broward,18,3.9,25,15,271480,17,1420,5286,4,81.2,9,43289,16.6,51.3,296,0.0,553089,28.3,7910,0.4,75851,3.9,2388,0.1,593733,30.4,694707,35.6
Calhoun,24,4.9,36,22,1542,15,6,7492,3,74.2,17,1310,18.0,45.4,9874,67.5,1897,13.0,194,1.3,117,0.8,20,0.1,838,5.7,11268,77.2
Charlotte,16,4.0,28,16,18489,17,117,4780,1,80.8,13,22606,40.2,51.2,14213,8.9,10180,5.5,742,0.4,2625,1.4,113,0.1,13712,7.4,155327,84.0
Citrus,18,4.3,29,20,14181,15,75,4771,2,75.6,15,18199,36.3,51.5,48753,34.5,4244,2.9,640,0.4,2488,1.7,57,0.0,8799,5.9,129756,87.7
Clay,18,4.3,32,20,20407,11,104,4810,2,77.9,11,13123,15.8,50.7,28570,15.0,24468,11.3,1220,0.6,6850,3.2,344,0.2,22335,10.3,155772,72.1
Collier,18,3.6,21,14,57598,23,279,3493,4,86.1,9,30469,32.2,50.7,27284,8.5,25332,6.7,1810,0.5,5882,1.6,368,0.1,106743,28.2,236691,62.5
Columbia,23,5.1,36,23,6497,12,32,8203,3,75.4,15,4856,18.9,48.4,41908,62.1,12717,18.0,408,0.6,744,1.1,60,0.1,4487,6.4,50953,72.3
DeSoto,26,4.9,32,21,5858,23,9,5879,7,79.9,15,2018,22.2,43.4,16121,46.2,4467,11.9,412,1.1,224,0.6,64,0.2,11950,31.9,20434,54.5
Dixie,24,4.9,34,25,1732,16,1,5742,4,75.1,15,587,23.6,44.6,12649,77.0,1598,9.6,97,0.6,69,0.4,3,0.0,671,4.0,14004,83.9
Duval,19,4.3,31,20,104607,13,807,5911,2,76.2,12,74593,14.0,51.5,25163,2.9,279975,29.5,4301,0.5,48120,5.1,1158,0.1,96316,10.1,499458,52.6
Escambia,19,4.2,29,20,27908,11,213,5292,1,75.7,13,35685,16.8,50.5,24709,8.3,71684,22.7,2838,0.9,10752,3.4,567,0.2,18363,5.8,202512,64.2
Flagler,17,4.1,26,17,11300,15,56,4514,2,80.0,12,12181,30.7,51.9,9877,10.3,11165,10.0,448,0.4,2918,2.6,102,0.1,11815,10.5,83849,74.8
Franklin,19,4.2,36,20,1308,18,3,4514,4,77.4,12,117,24.0,44.2,7858,68.0,1427,12.2,117,1.0,57,0.5,9,0.1,657,5.6,9315,79.4
Gadsden,26,4.8,43,20,5711,16,9,6430,5,76.4,20,2590,17.9,52.5,30329,65.4,25298,55.1,268,0.6,335,0.7,62,0.1,4823,10.5,14944,32.6
Gilchrist,21,4.8,38,21,2050,16,7,6870,2,77.4,15,46,20.5,48.4,14215,83.9,989,5.4,125,0.7,106,0.6,22,0.1,1114,6.1,15662,85.8
Glades,21,4.6,36,20,2197,26,,7077,3,84.5,21,4006,27.3,43.8,9101,70.6,1788,13.0,712,5.2,97,0.7,14,0.1,2902,21.1,8245,60.1
Gulf,21,4.2,33,20,1325,13,7,5642,1,76.0,13,1059,21.6,41.5,12228,77.1,2720,16.8,107,0.7,77,0.5,4,0.0,747,4.6,12235,75.7
Hamilton,26,5.1,41,22,1383,15,1,6465,3,76.2,15,1600,18.0,42.1,9395,63.5,4597,32.1,151,1.1,117,0.8,4,0.0,1402,9.8,7874,55.0
Hardee,27,4.8,39,19,4271,20,3,7502,8,79.8,16,6116,16.6,47.2,13258,47.8,1815,6.7,320,1.2,308,1.1,30,0.1,11981,44.0,12737,46.7
