STATE,COUNTY,STNAME,CTYNAME,YEAR,MEDIAN_AGE_TOT
12,1,Florida,Alachua County,12,32.1
12,3,Florida,Baker County,12,37.2
12,5,Florida,Bay County,12,41.8
12,7,Florida,Bradford County,12,39.8
12,9,Florida,Brevard County,12,47.7
12,11,Florida,Broward County,12,40.8
12,13,Florida,Calhoun County,12,42
12,15,Florida,Charlotte County,12,60.1
12,17,Florida,Citrus County,12,57.1
12,19,Florida,Clay County,12,40
12,21,Florida,Collier County,12,52.1
12,23,Florida,Columbia County,12,40.5
12,27,Florida,DeSoto County,12,41.2
12,29,Florida,Dixie County,12,46.2
12,31,Florida,Duval County,12,36.6
12,33,Florida,Escambia County,12,37.5
12,35,Florida,Flagler County,12,52.6
12,37,Florida,Franklin County,12,46.3
12,39,Florida,Gadsden County,12,41.8
12,41,Florida,Gilchrist County,12,42.5
12,43,Florida,Glades County,12,47.7
12,45,Florida,Gulf County,12,49.8
12,47,Florida,Hamilton County,12,40.2
12,49,Florida,Hardee County,12,36.1
12,51,Florida,Hendry County,12,35.1
12,53,Florida,Hernando County,12,48.7
12,55,Florida,Highlands County,12,54.4
12,57,Florida,Hillsborough County,12,37.6
12,59,Florida,Holmes County,12,42.5
12,61,Florida,Indian River County,12,54.6
12,63,Florida,Jackson County,12,42.4
12,65,Florida,Jefferson County,12,48.4
12,67,Florida,Lafayette County,12,39.8
12,69,Florida,Lake County,12,47.4
12,71,Florida,Lee County,12,49.3
12,73,Florida,Leon County,12,31.5
12,75,Florida,Levy County,12,47.7
12,77,Florida,Liberty County,12,39.5
12,79,Florida,Madison County,12,43.5
12,81,Florida,Manatee County,12,49.3
12,83,Florida,Marion County,12,48.9
12,85,Florida,Martin County,12,53.1
12,86,Florida,Miami-Dade County,12,40.4
12,87,Florida,Monroe County,12,48.4
12,89,Florida,Nassau County,12,45.9
12,91,Florida,Okaloosa County,12,37.2
12,93,Florida,Okeechobee County,12,41.5
12,95,Florida,Orange County,12,35.7
12,97,Florida,Osceola County,12,36.6
12,99,Florida,Palm Beach County,12,45.2
12,101,Florida,Pasco County,12,44.4
12,103,Florida,Pinellas County,12,48.8
12,105,Florida,Polk County,12,40.2
12,107,Florida,Putnam County,12,45.6
12,109,Florida,St. Johns County,12,44.1
12,111,Florida,St. Lucie County,12,45.8
12,113,Florida,Santa Rosa County,12,39.9
12,115,Florida,Sarasota County,12,57.1
12,117,Florida,Seminole County,12,39.4
12,119,Florida,Sumter County,12,68.1
12,121,Florida,Suwannee County,12,43.2
12,123,Florida,Taylor County,12,42.1
12,125,Florida,Union County,12,39.7
12,127,Florida,Volusia County,12,47.1
12,129,Florida,Wakulla County,12,40.9
12,131,Florida,Walton County,12,44.3
12,133,Florida,Washington County,12,40.8
